path,score,radius
10513907744.jpg,3,0.29559151377369736
11004139923.jpg,3,0.29559151377369736
1434258458.jpg,6,0.29559151377369736
1572804254.jpg,4,0.0038286132269806476
2197636094.jpg,5,0.12883982630074955
2790138273.jpg,3,0.22397211652047064
3228786952.jpg,3,0.26715725346700364
3390605400.jpg,3,0.22637717229325366
3395475764.jpg,3,0.009594845019392152
3525647615.jpg,3,0.29559151377369736
10027582235.jpg,5,0.29559151377369736
10031298826.jpg,4,0.08415917406899179
10050349236.jpg,4,0.29559151377369736
10091520555.jpg,2,0.026275760500907644
10094235786.jpg,5,0.1873449967423446
10111411235.jpg,3,0.27411502134188415
10147970884.jpg,6,0.16068708604848714
10155925686.jpg,3,0.14091756633459643
10244314384.jpg,-1,0.0
1026198859.jpg,7,0.29559151377369736
