path,score,radius
10513907744.jpg,7,0.24632626147808115
11004139923.jpg,7,0.24632626147808115
1434258458.jpg,6,0.24632626147808115
1572804254.jpg,5,0.10491527331324074
2197636094.jpg,9,0.24632626147808115
2790138273.jpg,7,0.0793651421549637
3228786952.jpg,6,0.08466987875392706
3390605400.jpg,5,0.20641322179090626
3395475764.jpg,9,0.24632626147808115
3525647615.jpg,9,0.04895936285944144
10027582235.jpg,9,0.24632626147808115
10031298826.jpg,5,0.24632626147808115
10050349236.jpg,3,0.17943760505666895
10091520555.jpg,6,0.06510774319455763
10094235786.jpg,8,0.23576505705951548
10111411235.jpg,5,0.13535565764939592
10147970884.jpg,8,0.24632626147808115
10155925686.jpg,7,0.14569529899656233
10244314384.jpg,4,0.10067460175028664
1026198859.jpg,8,0.23576505705951548
