path,median,lower_b,upper_b
10513907744.jpg,"[tensor(69.1684, dtype=torch.float64)]","[tensor(68.9706, dtype=torch.float64)]","[tensor(69.3706, dtype=torch.float64)]"
11004139923.jpg,"[tensor(96.4032, dtype=torch.float64)]","[tensor(96.2704, dtype=torch.float64)]","[tensor(96.5538, dtype=torch.float64)]"
1434258458.jpg,"[tensor(72.8087, dtype=torch.float64)]","[tensor(72.5744, dtype=torch.float64)]","[tensor(73.0442, dtype=torch.float64)]"
1572804254.jpg,"[tensor(59.1807, dtype=torch.float64)]","[tensor(58.8847, dtype=torch.float64)]","[tensor(59.4518, dtype=torch.float64)]"
2197636094.jpg,"[tensor(56.9507, dtype=torch.float64)]","[tensor(56.6147, dtype=torch.float64)]","[tensor(57.3331, dtype=torch.float64)]"
2790138273.jpg,"[tensor(51.1975, dtype=torch.float64)]","[tensor(50.9115, dtype=torch.float64)]","[tensor(51.4976, dtype=torch.float64)]"
3228786952.jpg,"[tensor(41.1405, dtype=torch.float64)]","[tensor(40.3442, dtype=torch.float64)]","[tensor(41.9140, dtype=torch.float64)]"
3390605400.jpg,"[tensor(40.0956, dtype=torch.float64)]","[tensor(39.5549, dtype=torch.float64)]","[tensor(40.6051, dtype=torch.float64)]"
3395475764.jpg,"[tensor(87.3148, dtype=torch.float64)]","[tensor(87.1834, dtype=torch.float64)]","[tensor(87.4696, dtype=torch.float64)]"
3525647615.jpg,"[tensor(68.6569, dtype=torch.float64)]","[tensor(68.4893, dtype=torch.float64)]","[tensor(68.8038, dtype=torch.float64)]"
10027582235.jpg,"[tensor(62.1114, dtype=torch.float64)]","[tensor(61.8609, dtype=torch.float64)]","[tensor(62.3626, dtype=torch.float64)]"
10031298826.jpg,"[tensor(61.8070, dtype=torch.float64)]","[tensor(61.5694, dtype=torch.float64)]","[tensor(62.0290, dtype=torch.float64)]"
10050349236.jpg,"[tensor(60.6453, dtype=torch.float64)]","[tensor(60.3727, dtype=torch.float64)]","[tensor(60.9581, dtype=torch.float64)]"
10091520555.jpg,"[tensor(36.9015, dtype=torch.float64)]","[tensor(36.1261, dtype=torch.float64)]","[tensor(37.6533, dtype=torch.float64)]"
10094235786.jpg,"[tensor(68.3681, dtype=torch.float64)]","[tensor(68.1263, dtype=torch.float64)]","[tensor(68.5891, dtype=torch.float64)]"
10111411235.jpg,"[tensor(64.5443, dtype=torch.float64)]","[tensor(64.3465, dtype=torch.float64)]","[tensor(64.7301, dtype=torch.float64)]"
10147970884.jpg,"[tensor(71.1804, dtype=torch.float64)]","[tensor(70.9960, dtype=torch.float64)]","[tensor(71.3590, dtype=torch.float64)]"
10155925686.jpg,"[tensor(47.5950, dtype=torch.float64)]","[tensor(47.3810, dtype=torch.float64)]","[tensor(47.8355, dtype=torch.float64)]"
10244314384.jpg,"[tensor(46.9583, dtype=torch.float64)]","[tensor(46.7808, dtype=torch.float64)]","[tensor(47.1444, dtype=torch.float64)]"
1026198859.jpg,"[tensor(82.9783, dtype=torch.float64)]","[tensor(82.8423, dtype=torch.float64)]","[tensor(83.1442, dtype=torch.float64)]"
