path,median,lower_b,upper_b
10513907744.jpg,"[tensor(47.7608, device='cuda:6')]","[tensor(47.5089, device='cuda:6')]","[tensor(48.0337, device='cuda:6')]"
11004139923.jpg,"[tensor(68.8415, device='cuda:6')]","[tensor(68.8308, device='cuda:6')]","[tensor(68.8523, device='cuda:6')]"
1434258458.jpg,"[tensor(55.2181, device='cuda:6')]","[tensor(54.9426, device='cuda:6')]","[tensor(55.5182, device='cuda:6')]"
1572804254.jpg,"[tensor(45.3404, device='cuda:6')]","[tensor(45.0495, device='cuda:6')]","[tensor(45.6476, device='cuda:6')]"
2197636094.jpg,"[tensor(54.7865, device='cuda:6')]","[tensor(54.5156, device='cuda:6')]","[tensor(55.0266, device='cuda:6')]"
2790138273.jpg,"[tensor(49.5669, device='cuda:6')]","[tensor(49.3550, device='cuda:6')]","[tensor(49.7531, device='cuda:6')]"
3228786952.jpg,"[tensor(35.2936, device='cuda:6')]","[tensor(34.7579, device='cuda:6')]","[tensor(35.8127, device='cuda:6')]"
3390605400.jpg,"[tensor(33.0880, device='cuda:6')]","[tensor(32.6515, device='cuda:6')]","[tensor(33.5047, device='cuda:6')]"
3395475764.jpg,"[tensor(52.3080, device='cuda:6')]","[tensor(52.1442, device='cuda:6')]","[tensor(52.4538, device='cuda:6')]"
3525647615.jpg,"[tensor(51.8092, device='cuda:6')]","[tensor(51.5726, device='cuda:6')]","[tensor(52.0668, device='cuda:6')]"
10027582235.jpg,"[tensor(51.9372, device='cuda:6')]","[tensor(51.6943, device='cuda:6')]","[tensor(52.1471, device='cuda:6')]"
10031298826.jpg,"[tensor(48.3203, device='cuda:6')]","[tensor(47.9580, device='cuda:6')]","[tensor(48.5598, device='cuda:6')]"
10050349236.jpg,"[tensor(41.1885, device='cuda:6')]","[tensor(40.8757, device='cuda:6')]","[tensor(41.5540, device='cuda:6')]"
10091520555.jpg,"[tensor(35.6012, device='cuda:6')]","[tensor(34.9181, device='cuda:6')]","[tensor(36.2465, device='cuda:6')]"
10094235786.jpg,"[tensor(47.7972, device='cuda:6')]","[tensor(47.4388, device='cuda:6')]","[tensor(48.1550, device='cuda:6')]"
10111411235.jpg,"[tensor(37.5245, device='cuda:6')]","[tensor(37.2095, device='cuda:6')]","[tensor(37.8378, device='cuda:6')]"
10147970884.jpg,"[tensor(57.7742, device='cuda:6')]","[tensor(57.5599, device='cuda:6')]","[tensor(58.0105, device='cuda:6')]"
10155925686.jpg,"[tensor(40.3874, device='cuda:6')]","[tensor(40.0904, device='cuda:6')]","[tensor(40.6637, device='cuda:6')]"
10244314384.jpg,"[tensor(33.8059, device='cuda:6')]","[tensor(33.4444, device='cuda:6')]","[tensor(34.1373, device='cuda:6')]"
1026198859.jpg,"[tensor(54.4959, device='cuda:6')]","[tensor(54.3193, device='cuda:6')]","[tensor(54.6938, device='cuda:6')]"
