path,median,lower_b,upper_b
10513907744.jpg,"[tensor(57.7374, device='cuda:6')]","[tensor(57.4326, device='cuda:6')]","[tensor(58.0319, device='cuda:6')]"
11004139923.jpg,"[tensor(84.2044, device='cuda:6')]","[tensor(84.1474, device='cuda:6')]","[tensor(84.2631, device='cuda:6')]"
1434258458.jpg,"[tensor(65.4544, device='cuda:6')]","[tensor(65.2104, device='cuda:6')]","[tensor(65.7185, device='cuda:6')]"
1572804254.jpg,"[tensor(44.0554, device='cuda:6')]","[tensor(43.6904, device='cuda:6')]","[tensor(44.4380, device='cuda:6')]"
2197636094.jpg,"[tensor(65.5308, device='cuda:6')]","[tensor(65.2439, device='cuda:6')]","[tensor(65.8214, device='cuda:6')]"
2790138273.jpg,"[tensor(50.7759, device='cuda:6')]","[tensor(50.1771, device='cuda:6')]","[tensor(51.2764, device='cuda:6')]"
3228786952.jpg,"[tensor(36.2032, device='cuda:6')]","[tensor(35.6095, device='cuda:6')]","[tensor(36.7790, device='cuda:6')]"
3390605400.jpg,"[tensor(26.8381, device='cuda:6')]","[tensor(26.2593, device='cuda:6')]","[tensor(27.4170, device='cuda:6')]"
3395475764.jpg,"[tensor(65.9796, device='cuda:6')]","[tensor(65.7304, device='cuda:6')]","[tensor(66.2307, device='cuda:6')]"
3525647615.jpg,"[tensor(55.8766, device='cuda:6')]","[tensor(55.3457, device='cuda:6')]","[tensor(56.3414, device='cuda:6')]"
10027582235.jpg,"[tensor(67.0556, device='cuda:6')]","[tensor(66.5030, device='cuda:6')]","[tensor(67.5402, device='cuda:6')]"
10031298826.jpg,"[tensor(58.6156, device='cuda:6')]","[tensor(58.1936, device='cuda:6')]","[tensor(58.9967, device='cuda:6')]"
10050349236.jpg,"[tensor(37.7509, device='cuda:6')]","[tensor(37.1941, device='cuda:6')]","[tensor(38.2660, device='cuda:6')]"
10091520555.jpg,"[tensor(28.4843, device='cuda:6')]","[tensor(27.9183, device='cuda:6')]","[tensor(29.0665, device='cuda:6')]"
10094235786.jpg,"[tensor(62.1611, device='cuda:6')]","[tensor(61.8525, device='cuda:6')]","[tensor(62.4614, device='cuda:6')]"
10111411235.jpg,"[tensor(34.2025, device='cuda:6')]","[tensor(33.5815, device='cuda:6')]","[tensor(34.7720, device='cuda:6')]"
10147970884.jpg,"[tensor(70.9908, device='cuda:6')]","[tensor(70.7479, device='cuda:6')]","[tensor(71.2540, device='cuda:6')]"
10155925686.jpg,"[tensor(44.5818, device='cuda:6')]","[tensor(44.1208, device='cuda:6')]","[tensor(45.0122, device='cuda:6')]"
10244314384.jpg,"[tensor(37.3778, device='cuda:6')]","[tensor(36.9464, device='cuda:6')]","[tensor(37.8474, device='cuda:6')]"
1026198859.jpg,"[tensor(70.7592, device='cuda:6')]","[tensor(70.5622, device='cuda:6')]","[tensor(71.0034, device='cuda:6')]"
