path,median,lower_b,upper_b
10513907744.jpg,"[tensor(0.3272, device='cuda:5')]","[tensor(0.3227, device='cuda:5')]","[tensor(0.3322, device='cuda:5')]"
11004139923.jpg,"[tensor(0.6405, device='cuda:5')]","[tensor(0.6397, device='cuda:5')]","[tensor(0.6412, device='cuda:5')]"
1434258458.jpg,"[tensor(0.5189, device='cuda:5')]","[tensor(0.5157, device='cuda:5')]","[tensor(0.5226, device='cuda:5')]"
1572804254.jpg,"[tensor(0.2686, device='cuda:5')]","[tensor(0.2634, device='cuda:5')]","[tensor(0.2748, device='cuda:5')]"
2197636094.jpg,"[tensor(0.4341, device='cuda:5')]","[tensor(0.4294, device='cuda:5')]","[tensor(0.4388, device='cuda:5')]"
2790138273.jpg,"[tensor(0.2452, device='cuda:5')]","[tensor(0.2385, device='cuda:5')]","[tensor(0.2519, device='cuda:5')]"
3228786952.jpg,"[tensor(0.2342, device='cuda:5')]","[tensor(0.2294, device='cuda:5')]","[tensor(0.2392, device='cuda:5')]"
3390605400.jpg,"[tensor(0.1215, device='cuda:5')]","[tensor(0.1176, device='cuda:5')]","[tensor(0.1256, device='cuda:5')]"
3395475764.jpg,"[tensor(0.4686, device='cuda:5')]","[tensor(0.4652, device='cuda:5')]","[tensor(0.4718, device='cuda:5')]"
3525647615.jpg,"[tensor(0.2820, device='cuda:5')]","[tensor(0.2753, device='cuda:5')]","[tensor(0.2886, device='cuda:5')]"
10027582235.jpg,"[tensor(0.4476, device='cuda:5')]","[tensor(0.4436, device='cuda:5')]","[tensor(0.4517, device='cuda:5')]"
10031298826.jpg,"[tensor(0.3043, device='cuda:5')]","[tensor(0.3007, device='cuda:5')]","[tensor(0.3085, device='cuda:5')]"
10050349236.jpg,"[tensor(0.1823, device='cuda:5')]","[tensor(0.1778, device='cuda:5')]","[tensor(0.1861, device='cuda:5')]"
10091520555.jpg,"[tensor(0.1499, device='cuda:5')]","[tensor(0.1454, device='cuda:5')]","[tensor(0.1546, device='cuda:5')]"
10094235786.jpg,"[tensor(0.3646, device='cuda:5')]","[tensor(0.3589, device='cuda:5')]","[tensor(0.3702, device='cuda:5')]"
10111411235.jpg,"[tensor(0.1762, device='cuda:5')]","[tensor(0.1710, device='cuda:5')]","[tensor(0.1811, device='cuda:5')]"
10147970884.jpg,"[tensor(0.4570, device='cuda:5')]","[tensor(0.4513, device='cuda:5')]","[tensor(0.4620, device='cuda:5')]"
10155925686.jpg,"[tensor(0.2439, device='cuda:5')]","[tensor(0.2350, device='cuda:5')]","[tensor(0.2512, device='cuda:5')]"
10244314384.jpg,"[tensor(0.2115, device='cuda:5')]","[tensor(0.2086, device='cuda:5')]","[tensor(0.2145, device='cuda:5')]"
1026198859.jpg,"[tensor(0.4672, device='cuda:5')]","[tensor(0.4629, device='cuda:5')]","[tensor(0.4717, device='cuda:5')]"
