path,median,lower_b,upper_b
10513907744.jpg,"[tensor(0.2234, device='cuda:6')]","[tensor(0.2214, device='cuda:6')]","[tensor(0.2248, device='cuda:6')]"
11004139923.jpg,"[tensor(0.2958, device='cuda:6')]","[tensor(0.2951, device='cuda:6')]","[tensor(0.2965, device='cuda:6')]"
1434258458.jpg,"[tensor(0.3508, device='cuda:6')]","[tensor(0.3466, device='cuda:6')]","[tensor(0.3546, device='cuda:6')]"
1572804254.jpg,"[tensor(0.2444, device='cuda:6')]","[tensor(0.2414, device='cuda:6')]","[tensor(0.2471, device='cuda:6')]"
2197636094.jpg,"[tensor(0.2716, device='cuda:6')]","[tensor(0.2702, device='cuda:6')]","[tensor(0.2733, device='cuda:6')]"
2790138273.jpg,"[tensor(0.2191, device='cuda:6')]","[tensor(0.2175, device='cuda:6')]","[tensor(0.2204, device='cuda:6')]"
3228786952.jpg,"[tensor(0.2048, device='cuda:6')]","[tensor(0.2026, device='cuda:6')]","[tensor(0.2070, device='cuda:6')]"
3390605400.jpg,"[tensor(0.1839, device='cuda:6')]","[tensor(0.1822, device='cuda:6')]","[tensor(0.1857, device='cuda:6')]"
3395475764.jpg,"[tensor(0.2870, device='cuda:6')]","[tensor(0.2843, device='cuda:6')]","[tensor(0.2900, device='cuda:6')]"
3525647615.jpg,"[tensor(0.2151, device='cuda:6')]","[tensor(0.2134, device='cuda:6')]","[tensor(0.2167, device='cuda:6')]"
10027582235.jpg,"[tensor(0.2535, device='cuda:6')]","[tensor(0.2515, device='cuda:6')]","[tensor(0.2554, device='cuda:6')]"
10031298826.jpg,"[tensor(0.2546, device='cuda:6')]","[tensor(0.2526, device='cuda:6')]","[tensor(0.2564, device='cuda:6')]"
10050349236.jpg,"[tensor(0.2318, device='cuda:6')]","[tensor(0.2301, device='cuda:6')]","[tensor(0.2334, device='cuda:6')]"
10091520555.jpg,"[tensor(0.1925, device='cuda:6')]","[tensor(0.1908, device='cuda:6')]","[tensor(0.1943, device='cuda:6')]"
10094235786.jpg,"[tensor(0.3028, device='cuda:6')]","[tensor(0.2989, device='cuda:6')]","[tensor(0.3073, device='cuda:6')]"
10111411235.jpg,"[tensor(0.2308, device='cuda:6')]","[tensor(0.2294, device='cuda:6')]","[tensor(0.2323, device='cuda:6')]"
10147970884.jpg,"[tensor(0.2763, device='cuda:6')]","[tensor(0.2734, device='cuda:6')]","[tensor(0.2792, device='cuda:6')]"
10155925686.jpg,"[tensor(0.2085, device='cuda:6')]","[tensor(0.2068, device='cuda:6')]","[tensor(0.2105, device='cuda:6')]"
10244314384.jpg,"[tensor(0.2277, device='cuda:6')]","[tensor(0.2264, device='cuda:6')]","[tensor(0.2292, device='cuda:6')]"
1026198859.jpg,"[tensor(0.4305, device='cuda:6')]","[tensor(0.4252, device='cuda:6')]","[tensor(0.4360, device='cuda:6')]"
