path,median,lower_b,upper_b
10513907744.jpg,"[tensor(74.7593, device='cuda:6')]","[tensor(74.6760, device='cuda:6')]","[tensor(74.8473, device='cuda:6')]"
11004139923.jpg,"[tensor(76.0629, device='cuda:6')]","[tensor(76.0310, device='cuda:6')]","[tensor(76.0945, device='cuda:6')]"
1434258458.jpg,"[tensor(73.3862, device='cuda:6')]","[tensor(73.2603, device='cuda:6')]","[tensor(73.5091, device='cuda:6')]"
1572804254.jpg,"[tensor(63.0865, device='cuda:6')]","[tensor(62.8498, device='cuda:6')]","[tensor(63.3101, device='cuda:6')]"
2197636094.jpg,"[tensor(76.8939, device='cuda:6')]","[tensor(76.7936, device='cuda:6')]","[tensor(76.9938, device='cuda:6')]"
2790138273.jpg,"[tensor(69.9637, device='cuda:6')]","[tensor(69.3979, device='cuda:6')]","[tensor(70.4341, device='cuda:6')]"
3228786952.jpg,"[tensor(67.7125, device='cuda:6')]","[tensor(67.5140, device='cuda:6')]","[tensor(67.9085, device='cuda:6')]"
3390605400.jpg,"[tensor(65.7275, device='cuda:6')]","[tensor(65.3670, device='cuda:6')]","[tensor(66.0831, device='cuda:6')]"
3395475764.jpg,"[tensor(80.1911, device='cuda:6')]","[tensor(80.1140, device='cuda:6')]","[tensor(80.2749, device='cuda:6')]"
3525647615.jpg,"[tensor(77.7838, device='cuda:6')]","[tensor(77.5967, device='cuda:6')]","[tensor(77.9263, device='cuda:6')]"
10027582235.jpg,"[tensor(77.6065, device='cuda:6')]","[tensor(77.4602, device='cuda:6')]","[tensor(77.7473, device='cuda:6')]"
10031298826.jpg,"[tensor(69.3258, device='cuda:6')]","[tensor(69.1365, device='cuda:6')]","[tensor(69.5142, device='cuda:6')]"
10050349236.jpg,"[tensor(60.4395, device='cuda:6')]","[tensor(60.1984, device='cuda:6')]","[tensor(60.7003, device='cuda:6')]"
10091520555.jpg,"[tensor(72.7194, device='cuda:6')]","[tensor(72.5210, device='cuda:6')]","[tensor(72.9102, device='cuda:6')]"
10094235786.jpg,"[tensor(77.9477, device='cuda:6')]","[tensor(77.8286, device='cuda:6')]","[tensor(78.0624, device='cuda:6')]"
10111411235.jpg,"[tensor(68.7716, device='cuda:6')]","[tensor(68.5023, device='cuda:6')]","[tensor(69.0945, device='cuda:6')]"
10147970884.jpg,"[tensor(76.3857, device='cuda:6')]","[tensor(76.2678, device='cuda:6')]","[tensor(76.4970, device='cuda:6')]"
10155925686.jpg,"[tensor(73.9614, device='cuda:6')]","[tensor(73.8108, device='cuda:6')]","[tensor(74.1121, device='cuda:6')]"
10244314384.jpg,"[tensor(55.5439, device='cuda:6')]","[tensor(55.3412, device='cuda:6')]","[tensor(55.7228, device='cuda:6')]"
1026198859.jpg,"[tensor(78.2264, device='cuda:6')]","[tensor(78.1522, device='cuda:6')]","[tensor(78.3061, device='cuda:6')]"
