path,median,lower_b,upper_b
10513907744.jpg,"[tensor(62.8648, dtype=torch.float64)]","[tensor(62.5257, dtype=torch.float64)]","[tensor(63.2016, dtype=torch.float64)]"
11004139923.jpg,"[tensor(86.7864, dtype=torch.float64)]","[tensor(86.6982, dtype=torch.float64)]","[tensor(86.8704, dtype=torch.float64)]"
1434258458.jpg,"[tensor(84.0139, dtype=torch.float64)]","[tensor(83.7770, dtype=torch.float64)]","[tensor(84.2718, dtype=torch.float64)]"
1572804254.jpg,"[tensor(39.0047, dtype=torch.float64)]","[tensor(38.5165, dtype=torch.float64)]","[tensor(39.4767, dtype=torch.float64)]"
2197636094.jpg,"[tensor(69.7180, dtype=torch.float64)]","[tensor(69.1636, dtype=torch.float64)]","[tensor(70.1997, dtype=torch.float64)]"
2790138273.jpg,"[tensor(50.2495, dtype=torch.float64)]","[tensor(49.7401, dtype=torch.float64)]","[tensor(50.8016, dtype=torch.float64)]"
3228786952.jpg,"[tensor(31.2748, dtype=torch.float64)]","[tensor(30.8767, dtype=torch.float64)]","[tensor(31.6630, dtype=torch.float64)]"
3390605400.jpg,"[tensor(32.3480, dtype=torch.float64)]","[tensor(31.9518, dtype=torch.float64)]","[tensor(32.7384, dtype=torch.float64)]"
3395475764.jpg,"[tensor(71.2783, dtype=torch.float64)]","[tensor(71.1322, dtype=torch.float64)]","[tensor(71.4191, dtype=torch.float64)]"
3525647615.jpg,"[tensor(55.7608, dtype=torch.float64)]","[tensor(55.2061, dtype=torch.float64)]","[tensor(56.3478, dtype=torch.float64)]"
10027582235.jpg,"[tensor(72.4218, dtype=torch.float64)]","[tensor(72.0562, dtype=torch.float64)]","[tensor(72.8058, dtype=torch.float64)]"
10031298826.jpg,"[tensor(54.7402, dtype=torch.float64)]","[tensor(54.3104, dtype=torch.float64)]","[tensor(55.2179, dtype=torch.float64)]"
10050349236.jpg,"[tensor(38.7315, dtype=torch.float64)]","[tensor(38.3271, dtype=torch.float64)]","[tensor(39.2019, dtype=torch.float64)]"
10091520555.jpg,"[tensor(48.8616, dtype=torch.float64)]","[tensor(48.4105, dtype=torch.float64)]","[tensor(49.3117, dtype=torch.float64)]"
10094235786.jpg,"[tensor(73.0506, dtype=torch.float64)]","[tensor(72.7479, dtype=torch.float64)]","[tensor(73.2969, dtype=torch.float64)]"
10111411235.jpg,"[tensor(38.6444, dtype=torch.float64)]","[tensor(38.3392, dtype=torch.float64)]","[tensor(38.9518, dtype=torch.float64)]"
10147970884.jpg,"[tensor(73.3806, dtype=torch.float64)]","[tensor(73.1370, dtype=torch.float64)]","[tensor(73.6063, dtype=torch.float64)]"
10155925686.jpg,"[tensor(47.7618, dtype=torch.float64)]","[tensor(47.1577, dtype=torch.float64)]","[tensor(48.3431, dtype=torch.float64)]"
10244314384.jpg,"[tensor(40.6197, dtype=torch.float64)]","[tensor(40.3723, dtype=torch.float64)]","[tensor(40.8968, dtype=torch.float64)]"
1026198859.jpg,"[tensor(69.7172, dtype=torch.float64)]","[tensor(69.4579, dtype=torch.float64)]","[tensor(69.9589, dtype=torch.float64)]"
