path,median,lower_b,upper_b
10513907744.jpg,"[tensor(68.9882, dtype=torch.float64)]","[tensor(68.7458, dtype=torch.float64)]","[tensor(69.2143, dtype=torch.float64)]"
11004139923.jpg,"[tensor(98.3372, dtype=torch.float64)]","[tensor(98.0880, dtype=torch.float64)]","[tensor(98.5604, dtype=torch.float64)]"
1434258458.jpg,"[tensor(75.9846, dtype=torch.float64)]","[tensor(75.7521, dtype=torch.float64)]","[tensor(76.2326, dtype=torch.float64)]"
1572804254.jpg,"[tensor(63.4491, dtype=torch.float64)]","[tensor(63.2036, dtype=torch.float64)]","[tensor(63.6935, dtype=torch.float64)]"
2197636094.jpg,"[tensor(63.3799, dtype=torch.float64)]","[tensor(63.1472, dtype=torch.float64)]","[tensor(63.6099, dtype=torch.float64)]"
2790138273.jpg,"[tensor(61.5930, dtype=torch.float64)]","[tensor(61.3474, dtype=torch.float64)]","[tensor(61.8195, dtype=torch.float64)]"
3228786952.jpg,"[tensor(57.9968, dtype=torch.float64)]","[tensor(57.7846, dtype=torch.float64)]","[tensor(58.2525, dtype=torch.float64)]"
3390605400.jpg,"[tensor(57.4442, dtype=torch.float64)]","[tensor(57.2048, dtype=torch.float64)]","[tensor(57.6923, dtype=torch.float64)]"
3395475764.jpg,"[tensor(90.2334, dtype=torch.float64)]","[tensor(89.9745, dtype=torch.float64)]","[tensor(90.4788, dtype=torch.float64)]"
3525647615.jpg,"[tensor(71.6109, dtype=torch.float64)]","[tensor(71.3625, dtype=torch.float64)]","[tensor(71.8711, dtype=torch.float64)]"
10027582235.jpg,"[tensor(66.6848, dtype=torch.float64)]","[tensor(66.4418, dtype=torch.float64)]","[tensor(66.9058, dtype=torch.float64)]"
10031298826.jpg,"[tensor(65.4077, dtype=torch.float64)]","[tensor(65.2014, dtype=torch.float64)]","[tensor(65.6121, dtype=torch.float64)]"
10050349236.jpg,"[tensor(73.6403, dtype=torch.float64)]","[tensor(73.4094, dtype=torch.float64)]","[tensor(73.8691, dtype=torch.float64)]"
10091520555.jpg,"[tensor(57.8541, dtype=torch.float64)]","[tensor(57.5853, dtype=torch.float64)]","[tensor(58.0988, dtype=torch.float64)]"
10094235786.jpg,"[tensor(69.1246, dtype=torch.float64)]","[tensor(68.8950, dtype=torch.float64)]","[tensor(69.3859, dtype=torch.float64)]"
10111411235.jpg,"[tensor(66.2229, dtype=torch.float64)]","[tensor(65.9951, dtype=torch.float64)]","[tensor(66.4332, dtype=torch.float64)]"
10147970884.jpg,"[tensor(74.5908, dtype=torch.float64)]","[tensor(74.3315, dtype=torch.float64)]","[tensor(74.8456, dtype=torch.float64)]"
10155925686.jpg,"[tensor(61.3112, dtype=torch.float64)]","[tensor(61.0707, dtype=torch.float64)]","[tensor(61.5428, dtype=torch.float64)]"
10244314384.jpg,"[tensor(62.9449, dtype=torch.float64)]","[tensor(62.7648, dtype=torch.float64)]","[tensor(63.1299, dtype=torch.float64)]"
1026198859.jpg,"[tensor(85.2173, dtype=torch.float64)]","[tensor(84.9929, dtype=torch.float64)]","[tensor(85.5126, dtype=torch.float64)]"
