path,median,lower_b,upper_b
10513907744.jpg,"[tensor(42.2688, device='cuda:6')]","[tensor(41.9220, device='cuda:6')]","[tensor(42.6019, device='cuda:6')]"
11004139923.jpg,"[tensor(68.4452, device='cuda:6')]","[tensor(68.4007, device='cuda:6')]","[tensor(68.4836, device='cuda:6')]"
1434258458.jpg,"[tensor(55.4170, device='cuda:6')]","[tensor(55.1706, device='cuda:6')]","[tensor(55.7010, device='cuda:6')]"
1572804254.jpg,"[tensor(42.8216, device='cuda:6')]","[tensor(42.4148, device='cuda:6')]","[tensor(43.2561, device='cuda:6')]"
2197636094.jpg,"[tensor(42.9318, device='cuda:6')]","[tensor(42.5397, device='cuda:6')]","[tensor(43.2859, device='cuda:6')]"
2790138273.jpg,"[tensor(51.3792, device='cuda:6')]","[tensor(50.9470, device='cuda:6')]","[tensor(51.8150, device='cuda:6')]"
3228786952.jpg,"[tensor(34.5599, device='cuda:6')]","[tensor(34.0126, device='cuda:6')]","[tensor(35.0330, device='cuda:6')]"
3390605400.jpg,"[tensor(32.6582, device='cuda:6')]","[tensor(32.2033, device='cuda:6')]","[tensor(33.1233, device='cuda:6')]"
3395475764.jpg,"[tensor(49.7736, device='cuda:6')]","[tensor(49.7018, device='cuda:6')]","[tensor(49.8426, device='cuda:6')]"
3525647615.jpg,"[tensor(50.0519, device='cuda:6')]","[tensor(49.6479, device='cuda:6')]","[tensor(50.4108, device='cuda:6')]"
10027582235.jpg,"[tensor(51.2704, device='cuda:6')]","[tensor(51.0217, device='cuda:6')]","[tensor(51.5265, device='cuda:6')]"
10031298826.jpg,"[tensor(41.2599, device='cuda:6')]","[tensor(41.0006, device='cuda:6')]","[tensor(41.5098, device='cuda:6')]"
10050349236.jpg,"[tensor(34.1120, device='cuda:6')]","[tensor(33.6170, device='cuda:6')]","[tensor(34.5715, device='cuda:6')]"
10091520555.jpg,"[tensor(35.9134, device='cuda:6')]","[tensor(35.3921, device='cuda:6')]","[tensor(36.4413, device='cuda:6')]"
10094235786.jpg,"[tensor(42.2557, device='cuda:6')]","[tensor(41.8405, device='cuda:6')]","[tensor(42.6215, device='cuda:6')]"
10111411235.jpg,"[tensor(36.7378, device='cuda:6')]","[tensor(36.2019, device='cuda:6')]","[tensor(37.2198, device='cuda:6')]"
10147970884.jpg,"[tensor(52.2049, device='cuda:6')]","[tensor(51.7922, device='cuda:6')]","[tensor(52.6072, device='cuda:6')]"
10155925686.jpg,"[tensor(38.7559, device='cuda:6')]","[tensor(38.3974, device='cuda:6')]","[tensor(39.0903, device='cuda:6')]"
10244314384.jpg,"[tensor(27.9151, device='cuda:6')]","[tensor(27.5905, device='cuda:6')]","[tensor(28.2204, device='cuda:6')]"
1026198859.jpg,"[tensor(46.4975, device='cuda:6')]","[tensor(46.2139, device='cuda:6')]","[tensor(46.7549, device='cuda:6')]"
