path,median,lower_b,upper_b
10513907744.jpg,"[tensor(25.5939, device='cuda:6')]","[tensor(25.1355, device='cuda:6')]","[tensor(26.1147, device='cuda:6')]"
11004139923.jpg,"[tensor(80.1524, device='cuda:6')]","[tensor(80.0731, device='cuda:6')]","[tensor(80.2234, device='cuda:6')]"
1434258458.jpg,"[tensor(47.0978, device='cuda:6')]","[tensor(46.8233, device='cuda:6')]","[tensor(47.3862, device='cuda:6')]"
1572804254.jpg,"[tensor(30.4825, device='cuda:6')]","[tensor(30.0631, device='cuda:6')]","[tensor(30.9498, device='cuda:6')]"
2197636094.jpg,"[tensor(25.8634, device='cuda:6')]","[tensor(25.2890, device='cuda:6')]","[tensor(26.4312, device='cuda:6')]"
2790138273.jpg,"[tensor(40.7943, device='cuda:6')]","[tensor(40.3561, device='cuda:6')]","[tensor(41.2705, device='cuda:6')]"
3228786952.jpg,"[tensor(27.2140, device='cuda:6')]","[tensor(26.8157, device='cuda:6')]","[tensor(27.5749, device='cuda:6')]"
3390605400.jpg,"[tensor(18.1476, device='cuda:6')]","[tensor(17.6772, device='cuda:6')]","[tensor(18.5700, device='cuda:6')]"
3395475764.jpg,"[tensor(57.3198, device='cuda:6')]","[tensor(57.1428, device='cuda:6')]","[tensor(57.5230, device='cuda:6')]"
3525647615.jpg,"[tensor(41.0705, device='cuda:6')]","[tensor(40.5683, device='cuda:6')]","[tensor(41.4891, device='cuda:6')]"
10027582235.jpg,"[tensor(43.2186, device='cuda:6')]","[tensor(42.5177, device='cuda:6')]","[tensor(43.8814, device='cuda:6')]"
10031298826.jpg,"[tensor(28.3596, device='cuda:6')]","[tensor(27.9376, device='cuda:6')]","[tensor(28.7817, device='cuda:6')]"
10050349236.jpg,"[tensor(26.2966, device='cuda:6')]","[tensor(25.7056, device='cuda:6')]","[tensor(26.8467, device='cuda:6')]"
10091520555.jpg,"[tensor(16.6074, device='cuda:6')]","[tensor(15.9291, device='cuda:6')]","[tensor(17.3069, device='cuda:6')]"
10094235786.jpg,"[tensor(37.2560, device='cuda:6')]","[tensor(36.8158, device='cuda:6')]","[tensor(37.6927, device='cuda:6')]"
10111411235.jpg,"[tensor(26.9243, device='cuda:6')]","[tensor(26.3872, device='cuda:6')]","[tensor(27.4228, device='cuda:6')]"
10147970884.jpg,"[tensor(40.0484, device='cuda:6')]","[tensor(39.6894, device='cuda:6')]","[tensor(40.3811, device='cuda:6')]"
10155925686.jpg,"[tensor(24.1263, device='cuda:6')]","[tensor(23.7092, device='cuda:6')]","[tensor(24.5311, device='cuda:6')]"
10244314384.jpg,"[tensor(23.2301, device='cuda:6')]","[tensor(22.8097, device='cuda:6')]","[tensor(23.6352, device='cuda:6')]"
1026198859.jpg,"[tensor(35.1596, device='cuda:6')]","[tensor(34.7867, device='cuda:6')]","[tensor(35.4546, device='cuda:6')]"
