path,median,lower_b,upper_b
10513907744.jpg,"[tensor(0.2268, device='cuda:5')]","[tensor(0.2236, device='cuda:5')]","[tensor(0.2298, device='cuda:5')]"
11004139923.jpg,"[tensor(0.5831, device='cuda:5')]","[tensor(0.5820, device='cuda:5')]","[tensor(0.5842, device='cuda:5')]"
1434258458.jpg,"[tensor(0.4659, device='cuda:5')]","[tensor(0.4631, device='cuda:5')]","[tensor(0.4686, device='cuda:5')]"
1572804254.jpg,"[tensor(0.1872, device='cuda:5')]","[tensor(0.1807, device='cuda:5')]","[tensor(0.1941, device='cuda:5')]"
2197636094.jpg,"[tensor(0.3467, device='cuda:5')]","[tensor(0.3427, device='cuda:5')]","[tensor(0.3505, device='cuda:5')]"
2790138273.jpg,"[tensor(0.1878, device='cuda:5')]","[tensor(0.1818, device='cuda:5')]","[tensor(0.1936, device='cuda:5')]"
3228786952.jpg,"[tensor(0.1929, device='cuda:5')]","[tensor(0.1877, device='cuda:5')]","[tensor(0.1975, device='cuda:5')]"
3390605400.jpg,"[tensor(0.0987, device='cuda:5')]","[tensor(0.0964, device='cuda:5')]","[tensor(0.1009, device='cuda:5')]"
3395475764.jpg,"[tensor(0.4010, device='cuda:5')]","[tensor(0.3969, device='cuda:5')]","[tensor(0.4042, device='cuda:5')]"
3525647615.jpg,"[tensor(0.1908, device='cuda:5')]","[tensor(0.1851, device='cuda:5')]","[tensor(0.1959, device='cuda:5')]"
10027582235.jpg,"[tensor(0.3639, device='cuda:5')]","[tensor(0.3591, device='cuda:5')]","[tensor(0.3689, device='cuda:5')]"
10031298826.jpg,"[tensor(0.2411, device='cuda:5')]","[tensor(0.2382, device='cuda:5')]","[tensor(0.2442, device='cuda:5')]"
10050349236.jpg,"[tensor(0.1458, device='cuda:5')]","[tensor(0.1428, device='cuda:5')]","[tensor(0.1485, device='cuda:5')]"
10091520555.jpg,"[tensor(0.1647, device='cuda:5')]","[tensor(0.1605, device='cuda:5')]","[tensor(0.1694, device='cuda:5')]"
10094235786.jpg,"[tensor(0.2786, device='cuda:5')]","[tensor(0.2739, device='cuda:5')]","[tensor(0.2834, device='cuda:5')]"
10111411235.jpg,"[tensor(0.1946, device='cuda:5')]","[tensor(0.1899, device='cuda:5')]","[tensor(0.1989, device='cuda:5')]"
10147970884.jpg,"[tensor(0.3155, device='cuda:5')]","[tensor(0.3097, device='cuda:5')]","[tensor(0.3208, device='cuda:5')]"
10155925686.jpg,"[tensor(0.1750, device='cuda:5')]","[tensor(0.1702, device='cuda:5')]","[tensor(0.1811, device='cuda:5')]"
10244314384.jpg,"[tensor(0.2380, device='cuda:5')]","[tensor(0.2349, device='cuda:5')]","[tensor(0.2407, device='cuda:5')]"
1026198859.jpg,"[tensor(0.3459, device='cuda:5')]","[tensor(0.3413, device='cuda:5')]","[tensor(0.3499, device='cuda:5')]"
