path,median,lower_b,upper_b
10513907744.jpg,"[tensor(0.1895, device='cuda:6')]","[tensor(0.1883, device='cuda:6')]","[tensor(0.1908, device='cuda:6')]"
11004139923.jpg,"[tensor(0.3019, device='cuda:6')]","[tensor(0.3001, device='cuda:6')]","[tensor(0.3036, device='cuda:6')]"
1434258458.jpg,"[tensor(0.3304, device='cuda:6')]","[tensor(0.3271, device='cuda:6')]","[tensor(0.3332, device='cuda:6')]"
1572804254.jpg,"[tensor(0.2169, device='cuda:6')]","[tensor(0.2153, device='cuda:6')]","[tensor(0.2186, device='cuda:6')]"
2197636094.jpg,"[tensor(0.2394, device='cuda:6')]","[tensor(0.2377, device='cuda:6')]","[tensor(0.2411, device='cuda:6')]"
2790138273.jpg,"[tensor(0.2322, device='cuda:6')]","[tensor(0.2305, device='cuda:6')]","[tensor(0.2339, device='cuda:6')]"
3228786952.jpg,"[tensor(0.2139, device='cuda:6')]","[tensor(0.2123, device='cuda:6')]","[tensor(0.2154, device='cuda:6')]"
3390605400.jpg,"[tensor(0.1935, device='cuda:6')]","[tensor(0.1921, device='cuda:6')]","[tensor(0.1949, device='cuda:6')]"
3395475764.jpg,"[tensor(0.2645, device='cuda:6')]","[tensor(0.2631, device='cuda:6')]","[tensor(0.2660, device='cuda:6')]"
3525647615.jpg,"[tensor(0.2117, device='cuda:6')]","[tensor(0.2101, device='cuda:6')]","[tensor(0.2130, device='cuda:6')]"
10027582235.jpg,"[tensor(0.2357, device='cuda:6')]","[tensor(0.2339, device='cuda:6')]","[tensor(0.2376, device='cuda:6')]"
10031298826.jpg,"[tensor(0.2494, device='cuda:6')]","[tensor(0.2481, device='cuda:6')]","[tensor(0.2507, device='cuda:6')]"
10050349236.jpg,"[tensor(0.2262, device='cuda:6')]","[tensor(0.2244, device='cuda:6')]","[tensor(0.2278, device='cuda:6')]"
10091520555.jpg,"[tensor(0.2031, device='cuda:6')]","[tensor(0.2014, device='cuda:6')]","[tensor(0.2049, device='cuda:6')]"
10094235786.jpg,"[tensor(0.2252, device='cuda:6')]","[tensor(0.2234, device='cuda:6')]","[tensor(0.2270, device='cuda:6')]"
10111411235.jpg,"[tensor(0.2047, device='cuda:6')]","[tensor(0.2037, device='cuda:6')]","[tensor(0.2059, device='cuda:6')]"
10147970884.jpg,"[tensor(0.2265, device='cuda:6')]","[tensor(0.2253, device='cuda:6')]","[tensor(0.2277, device='cuda:6')]"
10155925686.jpg,"[tensor(0.2116, device='cuda:6')]","[tensor(0.2100, device='cuda:6')]","[tensor(0.2130, device='cuda:6')]"
10244314384.jpg,"[tensor(0.2149, device='cuda:6')]","[tensor(0.2136, device='cuda:6')]","[tensor(0.2163, device='cuda:6')]"
1026198859.jpg,"[tensor(0.2342, device='cuda:6')]","[tensor(0.2331, device='cuda:6')]","[tensor(0.2354, device='cuda:6')]"
