path,median,lower_b,upper_b
10513907744.jpg,"[tensor(73.3337, device='cuda:6')]","[tensor(73.1876, device='cuda:6')]","[tensor(73.4626, device='cuda:6')]"
11004139923.jpg,"[tensor(77.9149, device='cuda:6')]","[tensor(77.8586, device='cuda:6')]","[tensor(77.9688, device='cuda:6')]"
1434258458.jpg,"[tensor(74.5616, device='cuda:6')]","[tensor(74.4182, device='cuda:6')]","[tensor(74.6899, device='cuda:6')]"
1572804254.jpg,"[tensor(63.3844, device='cuda:6')]","[tensor(63.1619, device='cuda:6')]","[tensor(63.6346, device='cuda:6')]"
2197636094.jpg,"[tensor(67.5797, device='cuda:6')]","[tensor(67.2293, device='cuda:6')]","[tensor(67.9126, device='cuda:6')]"
2790138273.jpg,"[tensor(65.3469, device='cuda:6')]","[tensor(64.6935, device='cuda:6')]","[tensor(66.1149, device='cuda:6')]"
3228786952.jpg,"[tensor(67.5795, device='cuda:6')]","[tensor(67.2570, device='cuda:6')]","[tensor(67.9878, device='cuda:6')]"
3390605400.jpg,"[tensor(64.3099, device='cuda:6')]","[tensor(64.0637, device='cuda:6')]","[tensor(64.5827, device='cuda:6')]"
3395475764.jpg,"[tensor(77.7023, device='cuda:6')]","[tensor(77.5929, device='cuda:6')]","[tensor(77.7988, device='cuda:6')]"
3525647615.jpg,"[tensor(74.4935, device='cuda:6')]","[tensor(74.0133, device='cuda:6')]","[tensor(74.9048, device='cuda:6')]"
10027582235.jpg,"[tensor(74.6727, device='cuda:6')]","[tensor(74.4777, device='cuda:6')]","[tensor(74.8661, device='cuda:6')]"
10031298826.jpg,"[tensor(67.0881, device='cuda:6')]","[tensor(66.8365, device='cuda:6')]","[tensor(67.3878, device='cuda:6')]"
10050349236.jpg,"[tensor(58.0452, device='cuda:6')]","[tensor(57.7233, device='cuda:6')]","[tensor(58.3576, device='cuda:6')]"
10091520555.jpg,"[tensor(70.3344, device='cuda:6')]","[tensor(70.1664, device='cuda:6')]","[tensor(70.4874, device='cuda:6')]"
10094235786.jpg,"[tensor(78.0347, device='cuda:6')]","[tensor(77.9200, device='cuda:6')]","[tensor(78.1407, device='cuda:6')]"
10111411235.jpg,"[tensor(65.3882, device='cuda:6')]","[tensor(65.0212, device='cuda:6')]","[tensor(65.7601, device='cuda:6')]"
10147970884.jpg,"[tensor(75.9664, device='cuda:6')]","[tensor(75.8369, device='cuda:6')]","[tensor(76.1056, device='cuda:6')]"
10155925686.jpg,"[tensor(75.5851, device='cuda:6')]","[tensor(75.4727, device='cuda:6')]","[tensor(75.7175, device='cuda:6')]"
10244314384.jpg,"[tensor(57.5024, device='cuda:6')]","[tensor(57.2878, device='cuda:6')]","[tensor(57.6918, device='cuda:6')]"
1026198859.jpg,"[tensor(76.0810, device='cuda:6')]","[tensor(75.9600, device='cuda:6')]","[tensor(76.2268, device='cuda:6')]"
