path,median,lower_b,upper_b
10513907744.jpg,"[tensor(51.7011, dtype=torch.float64)]","[tensor(51.3259, dtype=torch.float64)]","[tensor(52.0784, dtype=torch.float64)]"
11004139923.jpg,"[tensor(100.7129, dtype=torch.float64)]","[tensor(100.6201, dtype=torch.float64)]","[tensor(100.7859, dtype=torch.float64)]"
1434258458.jpg,"[tensor(83.4105, dtype=torch.float64)]","[tensor(83.1241, dtype=torch.float64)]","[tensor(83.6618, dtype=torch.float64)]"
1572804254.jpg,"[tensor(15.8581, dtype=torch.float64)]","[tensor(15.5674, dtype=torch.float64)]","[tensor(16.2094, dtype=torch.float64)]"
2197636094.jpg,"[tensor(40.8709, dtype=torch.float64)]","[tensor(40.1718, dtype=torch.float64)]","[tensor(41.5561, dtype=torch.float64)]"
2790138273.jpg,"[tensor(44.9755, dtype=torch.float64)]","[tensor(44.3293, dtype=torch.float64)]","[tensor(45.6938, dtype=torch.float64)]"
3228786952.jpg,"[tensor(20.6292, dtype=torch.float64)]","[tensor(20.2775, dtype=torch.float64)]","[tensor(21.0260, dtype=torch.float64)]"
3390605400.jpg,"[tensor(19.8924, dtype=torch.float64)]","[tensor(19.3929, dtype=torch.float64)]","[tensor(20.5523, dtype=torch.float64)]"
3395475764.jpg,"[tensor(71.5842, dtype=torch.float64)]","[tensor(71.4137, dtype=torch.float64)]","[tensor(71.7538, dtype=torch.float64)]"
3525647615.jpg,"[tensor(60.5270, dtype=torch.float64)]","[tensor(60.0314, dtype=torch.float64)]","[tensor(61.0031, dtype=torch.float64)]"
10027582235.jpg,"[tensor(55.8809, dtype=torch.float64)]","[tensor(55.3429, dtype=torch.float64)]","[tensor(56.4094, dtype=torch.float64)]"
10031298826.jpg,"[tensor(35.0135, dtype=torch.float64)]","[tensor(34.6461, dtype=torch.float64)]","[tensor(35.4284, dtype=torch.float64)]"
10050349236.jpg,"[tensor(19.3935, dtype=torch.float64)]","[tensor(19.0813, dtype=torch.float64)]","[tensor(19.7740, dtype=torch.float64)]"
10091520555.jpg,"[tensor(64.7676, dtype=torch.float64)]","[tensor(64.3870, dtype=torch.float64)]","[tensor(65.1626, dtype=torch.float64)]"
10094235786.jpg,"[tensor(75.1018, dtype=torch.float64)]","[tensor(74.8321, dtype=torch.float64)]","[tensor(75.3820, dtype=torch.float64)]"
10111411235.jpg,"[tensor(28.1393, dtype=torch.float64)]","[tensor(27.8137, dtype=torch.float64)]","[tensor(28.4545, dtype=torch.float64)]"
10147970884.jpg,"[tensor(64.6038, dtype=torch.float64)]","[tensor(64.2611, dtype=torch.float64)]","[tensor(64.9431, dtype=torch.float64)]"
10155925686.jpg,"[tensor(60.6996, dtype=torch.float64)]","[tensor(60.1348, dtype=torch.float64)]","[tensor(61.2308, dtype=torch.float64)]"
10244314384.jpg,"[tensor(25.5856, dtype=torch.float64)]","[tensor(25.2422, dtype=torch.float64)]","[tensor(25.8840, dtype=torch.float64)]"
1026198859.jpg,"[tensor(58.8485, dtype=torch.float64)]","[tensor(58.5180, dtype=torch.float64)]","[tensor(59.1727, dtype=torch.float64)]"
