path,pred,radius
10513907744.jpg,[5],[0.00443391]
11004139923.jpg,[8],[0.29559151]
1434258458.jpg,[8],[0.10160385]
1572804254.jpg,[3],[0.06929961]
2197636094.jpg,[7],[0.17802656]
2790138273.jpg,[5],[0.05109798]
3228786952.jpg,[0],[0.29559151]
3390605400.jpg,[2],[0.02314369]
3395475764.jpg,[7],[0.27411502]
3525647615.jpg,[6],[0.02003385]
10027582235.jpg,[6],[0.23437367]
10031298826.jpg,[4],[0.02816671]
10050349236.jpg,[5],[0.14024112]
10091520555.jpg,[0],[0.04871602]
10094235786.jpg,[7],[0.26715725]
10111411235.jpg,[6],[0.19120751]
10147970884.jpg,[7],[0.23736115]
10155925686.jpg,[6],[0.13064771]
10244314384.jpg,[4],[0.14159915]
1026198859.jpg,[7],[0.17078936]
