path,pred,radius
10513907744.jpg,[6],[0.24398111]
11004139923.jpg,[11],[0.29559151]
1434258458.jpg,[8],[0.10067479]
1572804254.jpg,[5],[0.24055175]
2197636094.jpg,[-1],[0.]
2790138273.jpg,[6],[0.29559151]
3228786952.jpg,[3],[0.07080275]
3390605400.jpg,[2],[0.187345]
3395475764.jpg,[7],[0.29559151]
3525647615.jpg,[7],[0.25625807]
10027582235.jpg,[7],[0.28291807]
10031298826.jpg,[6],[0.28291807]
10050349236.jpg,[4],[0.24398111]
10091520555.jpg,[3],[0.08415917]
10094235786.jpg,[6],[0.20447036]
10111411235.jpg,[3],[0.19120751]
10147970884.jpg,[8],[0.27411502]
10155925686.jpg,[4],[0.27411502]
10244314384.jpg,[2],[0.11971173]
1026198859.jpg,[7],[0.05144023]
