path,pred,radius
10513907744.jpg,[6],[0.29559151]
11004139923.jpg,[11],[0.29559151]
1434258458.jpg,[7],[0.11648453]
1572804254.jpg,[4],[0.16884835]
2197636094.jpg,[7],[0.10113846]
2790138273.jpg,[5],[0.20126286]
3228786952.jpg,[2],[0.09612861]
3390605400.jpg,[1],[0.10395743]
3395475764.jpg,[-1],[0.]
3525647615.jpg,[6],[0.16602905]
10027582235.jpg,[8],[0.11181544]
10031298826.jpg,[6],[0.21947292]
10050349236.jpg,[3],[0.04368783]
10091520555.jpg,[1],[0.24398111]
10094235786.jpg,[7],[0.25625807]
10111411235.jpg,[2],[0.22890193]
10147970884.jpg,[8],[0.17802656]
10155925686.jpg,[4],[0.21947292]
10244314384.jpg,[-1],[0.]
1026198859.jpg,[8],[0.24769587]
