path,pred,radius
10513907744.jpg,[4],[0.28291807]
11004139923.jpg,[7],[0.29559151]
1434258458.jpg,[6],[0.29559151]
1572804254.jpg,[3],[0.28291807]
2197636094.jpg,[5],[0.28291807]
2790138273.jpg,[3],[0.29559151]
3228786952.jpg,[3],[0.29559151]
3390605400.jpg,[2],[0.27411502]
3395475764.jpg,[5],[0.29559151]
3525647615.jpg,[3],[0.17380155]
10027582235.jpg,[5],[0.29559151]
10031298826.jpg,[4],[0.04269375]
10050349236.jpg,[2],[0.22167423]
10091520555.jpg,[2],[0.29559151]
10094235786.jpg,[4],[0.29559151]
10111411235.jpg,[2],[0.27411502]
10147970884.jpg,[5],[0.29559151]
10155925686.jpg,[3],[0.29559151]
10244314384.jpg,[3],[0.21336411]
1026198859.jpg,[5],[0.29559151]
