path,pred,radius
10513907744.jpg,[8],[0.28291807]
11004139923.jpg,[11],[0.29559151]
1434258458.jpg,[11],[0.29559151]
1572804254.jpg,[4],[0.03518584]
2197636094.jpg,[9],[0.26132295]
2790138273.jpg,[6],[0.03745081]
3228786952.jpg,[2],[0.21147021]
3390605400.jpg,[2],[0.07231892]
3395475764.jpg,[9],[0.28291807]
3525647615.jpg,[7],[0.04236319]
10027582235.jpg,[10],[0.03615452]
10031298826.jpg,[6],[0.0674383]
10050349236.jpg,[4],[0.01203519]
10091520555.jpg,[5],[0.11971173]
10094235786.jpg,[10],[0.1825251]
10111411235.jpg,[-1],[0.]
10147970884.jpg,[10],[0.28291807]
10155925686.jpg,[5],[0.187345]
10244314384.jpg,[4],[0.29559151]
1026198859.jpg,[9],[0.29559151]
