path,pred,radius
10513907744.jpg,[4],[0.04535294]
11004139923.jpg,[9],[0.01203519]
1434258458.jpg,[9],[0.01081397]
1572804254.jpg,[3],[0.07931669]
2197636094.jpg,[4],[0.28291807]
2790138273.jpg,[4],[0.13500272]
3228786952.jpg,[4],[0.00503957]
3390605400.jpg,[3],[0.25625807]
3395475764.jpg,[8],[0.23736115]
3525647615.jpg,[6],[0.13125787]
10027582235.jpg,[5],[0.28291807]
10031298826.jpg,[5],[0.26132295]
10050349236.jpg,[4],[0.08705781]
10091520555.jpg,[4],[0.05178298]
10094235786.jpg,[6],[0.13436823]
10111411235.jpg,[6],[0.0358313]
10147970884.jpg,[7],[0.27411502]
10155925686.jpg,[4],[0.1034831]
10244314384.jpg,[4],[0.11542982]
1026198859.jpg,[8],[0.29559151]
