path,pred,radius
10513907744.jpg,[4],[0.04368783]
11004139923.jpg,[11],[0.29559151]
1434258458.jpg,[8],[0.14508787]
1572804254.jpg,[5],[0.03940574]
2197636094.jpg,[5],[0.03647808]
2790138273.jpg,[7],[0.0817188]
3228786952.jpg,[-1],[0.]
3390605400.jpg,[2],[0.20963822]
3395475764.jpg,[6],[0.28291807]
3525647615.jpg,[6],[0.10880662]
10027582235.jpg,[7],[0.11542982]
10031298826.jpg,[4],[0.27411502]
10050349236.jpg,[2],[0.03647808]
10091520555.jpg,[3],[0.14872222]
10094235786.jpg,[4],[0.04602198]
10111411235.jpg,[3],[0.19120751]
10147970884.jpg,[7],[0.26715725]
10155925686.jpg,[4],[0.01817759]
10244314384.jpg,[1],[0.28291807]
1026198859.jpg,[5],[0.02065416]
