path,pred,radius
10513907744.jpg,[0],[0.01879558]
11004139923.jpg,[10],[0.29559151]
1434258458.jpg,[4],[0.29559151]
1572804254.jpg,[1],[0.14367577]
2197636094.jpg,[-1],[0.]
2790138273.jpg,[3],[0.25175886]
3228786952.jpg,[1],[0.21147021]
3390605400.jpg,[0],[0.29559151]
3395475764.jpg,[6],[0.29559151]
3525647615.jpg,[3],[0.25175886]
10027582235.jpg,[4],[0.01111907]
10031298826.jpg,[1],[0.28291807]
10050349236.jpg,[1],[0.04803977]
10091520555.jpg,[0],[0.29559151]
10094235786.jpg,[-1],[0.]
10111411235.jpg,[1],[0.13064771]
10147970884.jpg,[3],[0.29559151]
10155925686.jpg,[0],[0.23437367]
10244314384.jpg,[0],[0.29559151]
1026198859.jpg,[2],[0.29559151]
