path,pred,radius
10513907744.jpg,[3],[0.29559151]
11004139923.jpg,[6],[0.29559151]
1434258458.jpg,[5],[0.29559151]
1572804254.jpg,[2],[0.13890321]
2197636094.jpg,[4],[0.29559151]
2790138273.jpg,[2],[0.11490624]
3228786952.jpg,[2],[0.08456979]
3390605400.jpg,[1],[0.01050899]
3395475764.jpg,[5],[0.01879558]
3525647615.jpg,[2],[0.11808602]
10027582235.jpg,[4],[0.29559151]
10031298826.jpg,[3],[0.29559151]
10050349236.jpg,[2],[0.29559151]
10091520555.jpg,[2],[0.29559151]
10094235786.jpg,[3],[0.22397212]
10111411235.jpg,[2],[0.06196373]
10147970884.jpg,[4],[0.12824452]
10155925686.jpg,[2],[0.23736115]
10244314384.jpg,[3],[0.29559151]
1026198859.jpg,[4],[0.29559151]
