path,pred,radius
10513907744.jpg,[2],[0.29559151]
11004139923.jpg,[4],[0.05769152]
1434258458.jpg,[4],[0.29559151]
1572804254.jpg,[3],[0.29559151]
2197636094.jpg,[3],[0.29559151]
2790138273.jpg,[3],[0.29559151]
3228786952.jpg,[3],[0.29559151]
3390605400.jpg,[2],[0.23736115]
3395475764.jpg,[3],[0.29559151]
3525647615.jpg,[3],[0.29559151]
10027582235.jpg,[3],[0.29559151]
10031298826.jpg,[3],[0.29559151]
10050349236.jpg,[3],[0.29559151]
10091520555.jpg,[3],[0.1034831]
10094235786.jpg,[3],[0.29559151]
10111411235.jpg,[3],[0.22637717]
10147970884.jpg,[3],[0.29559151]
10155925686.jpg,[3],[0.29559151]
10244314384.jpg,[3],[0.29559151]
1026198859.jpg,[3],[0.29559151]
