path,pred,radius
10513907744.jpg,[6],[0.21532513]
11004139923.jpg,[8],[0.29559151]
1434258458.jpg,[7],[0.25625807]
1572804254.jpg,[2],[0.02627576]
2197636094.jpg,[4],[0.18610679]
2790138273.jpg,[3],[0.03038484]
3228786952.jpg,[4],[0.16420664]
3390605400.jpg,[3],[0.16068709]
3395475764.jpg,[8],[0.29559151]
3525647615.jpg,[7],[0.07616965]
10027582235.jpg,[7],[0.20786356]
10031298826.jpg,[4],[0.19391837]
10050349236.jpg,[0],[0.05385037]
10091520555.jpg,[5],[0.29559151]
10094235786.jpg,[8],[0.29559151]
10111411235.jpg,[3],[0.12136274]
10147970884.jpg,[7],[0.19675166]
10155925686.jpg,[7],[0.29559151]
10244314384.jpg,[0],[0.25175886]
1026198859.jpg,[7],[0.13628473]
