path,pred,radius
10513907744.jpg,[6],[0.26132295]
11004139923.jpg,[11],[0.29559151]
1434258458.jpg,[11],[0.29559151]
1572804254.jpg,[0],[0.29559151]
2197636094.jpg,[4],[0.17380155]
2790138273.jpg,[5],[0.0785241]
3228786952.jpg,[0],[0.17078936]
3390605400.jpg,[0],[0.16242679]
3395475764.jpg,[9],[0.19254843]
3525647615.jpg,[7],[0.04335606]
10027582235.jpg,[7],[0.05981641]
10031298826.jpg,[3],[0.29559151]
10050349236.jpg,[0],[0.28291807]
10091520555.jpg,[8],[0.25625807]
10094235786.jpg,[10],[0.29559151]
10111411235.jpg,[2],[0.14580259]
10147970884.jpg,[8],[0.29559151]
10155925686.jpg,[7],[0.01571281]
10244314384.jpg,[1],[0.28291807]
1026198859.jpg,[7],[0.29559151]
