path,pred,radius
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/1026198859.png,[3],[0.19675166]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10244314384.png,[0],[0.27411502]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10155925686.png,[1],[0.02408087]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10147970884.png,[3],[0.17078936]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10111411235.png,[1],[0.10113846]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10094235786.png,[3],[0.22397212]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10091520555.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10050349236.png,[1],[0.19120751]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10031298826.png,[1],[0.04203304]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/linearity/10027582235.png,[4],[0.20786356]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/1026198859.png,[2],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10244314384.png,[0],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10155925686.png,[0],[0.23437367]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10147970884.png,[3],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10111411235.png,[1],[0.13628473]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10094235786.png,[-1],[0.]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10091520555.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10050349236.png,[1],[0.07042576]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10031298826.png,[1],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/linearity/10027582235.png,[4],[0.01111907]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/3525647615.png,[3],[0.22890193]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/3395475764.png,[6],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/3390605400.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/3228786952.png,[1],[0.20284491]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/2790138273.png,[3],[0.26715725]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/2197636094.png,[1],[0.00020333]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/1572804254.png,[1],[0.04236319]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/1434258458.png,[4],[0.07812929]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/11004139923.png,[10],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/linearity/10513907744.png,[0],[0.03777574]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/3525647615.png,[3],[0.17278344]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/3395475764.png,[6],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/3390605400.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/3228786952.png,[1],[0.22167423]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/2790138273.png,[3],[0.19254843]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/2197636094.png,[1],[0.08622375]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/1572804254.png,[1],[0.04669278]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/1434258458.png,[4],[0.05007422]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/11004139923.png,[10],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/linearity/10513907744.png,[-1],[0.]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/1026198859.png,[2],[0.02127528]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10244314384.png,[0],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10155925686.png,[0],[0.03454169]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10147970884.png,[3],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10111411235.png,[1],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10094235786.png,[3],[0.23736115]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10091520555.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10050349236.png,[1],[0.15022046]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10031298826.png,[1],[0.16789668]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/linearity/10027582235.png,[4],[0.18610679]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/1026198859.png,[3],[0.08874056]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10244314384.png,[0],[0.25625807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10155925686.png,[0],[0.02252003]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10147970884.png,[3],[0.22890193]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10111411235.png,[1],[0.20963822]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10094235786.png,[3],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10091520555.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10050349236.png,[1],[0.16789668]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10031298826.png,[1],[0.15731945]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/linearity/10027582235.png,[4],[0.16602905]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/1026198859.png,[2],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10244314384.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10155925686.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10147970884.png,[3],[0.26715725]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10111411235.png,[1],[0.26715725]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10094235786.png,[2],[0.10113846]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10091520555.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10050349236.png,[0],[0.07423322]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10031298826.png,[1],[0.25625807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/linearity/10027582235.png,[-1],[0.]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/1026198859.png,[2],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10244314384.png,[0],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10155925686.png,[0],[0.24398111]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10147970884.png,[3],[0.26132295]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10111411235.png,[1],[0.12304024]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10094235786.png,[2],[0.02816671]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10091520555.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10050349236.png,[0],[0.13064771]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10031298826.png,[1],[0.27411502]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/linearity/10027582235.png,[3],[0.0552393]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/linearity/1026198859.png,[2],[0.0247068]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/linearity/10244314384.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/linearity/10155925686.png,[0],[0.12191891]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/linearity/10147970884.png,[3],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/linearity/10111411235.png,[1],[0.27411502]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/linearity/10094235786.png,[3],[0.20126286]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/linearity/10091520555.png,[0],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/linearity/10050349236.png,[1],[0.1395697]
