path,pred,radius
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/1026198859.png,[9],[0.01325864]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10244314384.png,[1],[0.25175886]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10155925686.png,[8],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10147970884.png,[9],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10111411235.png,[7],[0.19254843]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10094235786.png,[10],[0.25175886]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10091520555.png,[6],[0.24769587]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10050349236.png,[2],[0.0817188]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10031298826.png,[6],[0.19821854]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/paq2piq/10027582235.png,[8],[0.16242679]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/1026198859.png,[7],[0.13125787]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10244314384.png,[0],[0.25175886]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10155925686.png,[7],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10147970884.png,[7],[0.19675166]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10111411235.png,[3],[0.06340833]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10094235786.png,[8],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10091520555.png,[5],[0.27411502]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10050349236.png,[0],[0.03133965]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10031298826.png,[4],[0.20447036]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/paq2piq/10027582235.png,[7],[0.20447036]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/3525647615.png,[8],[0.17380155]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/3395475764.png,[9],[0.04535294]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/3390605400.png,[3],[0.13564152]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/3228786952.png,[4],[0.0169438]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/2790138273.png,[4],[0.0184865]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/2197636094.png,[5],[0.03680198]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/1572804254.png,[3],[0.15174592]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/1434258458.png,[7],[0.01479131]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/11004139923.png,[9],[0.0583974]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/paq2piq/10513907744.png,[-1],[0.]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/3525647615.png,[7],[0.02533366]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/3395475764.png,[8],[0.19675166]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/3390605400.png,[3],[0.11862518]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/3228786952.png,[4],[0.06559576]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/2790138273.png,[4],[0.02564745]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/2197636094.png,[4],[0.05281432]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/1572804254.png,[3],[0.11030119]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/1434258458.png,[7],[0.26715725]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/11004139923.png,[8],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/parsimonious/paq2piq/10513907744.png,[7],[0.01417778]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/1026198859.png,[8],[0.04871602]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10244314384.png,[1],[0.03842667]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10155925686.png,[8],[0.24769587]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10147970884.png,[8],[0.27411502]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10111411235.png,[6],[0.00959485]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10094235786.png,[9],[0.23437367]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10091520555.png,[6],[0.09568264]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10050349236.png,[1],[0.18489139]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10031298826.png,[5],[0.12883983]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/madc/paq2piq/10027582235.png,[8],[0.06559576]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/1026198859.png,[10],[0.15329993]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10244314384.png,[1],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10155925686.png,[8],[0.26132295]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10147970884.png,[9],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10111411235.png,[7],[0.24055175]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10094235786.png,[10],[0.10880662]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10091520555.png,[6],[0.22890193]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10050349236.png,[-1],[0.]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10031298826.png,[6],[0.26132295]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ifgsm/paq2piq/10027582235.png,[8],[0.15251927]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/1026198859.png,[8],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10244314384.png,[1],[0.14872222]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10155925686.png,[8],[0.24055175]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10147970884.png,[8],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10111411235.png,[4],[0.08456979]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10094235786.png,[9],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10091520555.png,[6],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10050349236.png,[1],[0.09479519]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10031298826.png,[5],[0.10067479]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/cnn-attack/paq2piq/10027582235.png,[7],[0.0689258]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/1026198859.png,[7],[0.13890321]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10244314384.png,[1],[0.27411502]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10155925686.png,[8],[0.01050899]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10147970884.png,[7],[0.02345586]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10111411235.png,[4],[0.05144023]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10094235786.png,[8],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10091520555.png,[6],[0.19675166]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10050349236.png,[1],[0.19972154]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10031298826.png,[4],[0.20963822]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/uap/paq2piq/10027582235.png,[7],[0.26715725]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/paq2piq/1026198859.png,[8],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/paq2piq/10244314384.png,[0],[0.11916707]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/paq2piq/10155925686.png,[8],[0.09568264]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/paq2piq/10147970884.png,[8],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/ssah/paq2piq/10111411235.png,[5],[0.05454374]
