path,pred,radius
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/1026198859.png,[11],[0.17483436]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10244314384.png,[5],[0.01910486]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10155925686.png,[5],[0.15649938]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10147970884.png,[9],[0.14091757]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10111411235.png,[7],[0.11335018]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10094235786.png,[9],[0.10113846]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10091520555.png,[4],[0.15649938]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10050349236.png,[4],[0.23437367]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10031298826.png,[6],[0.15983159]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/zhang-et-al-dists/fpr/10027582235.png,[5],[0.05419678]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/1026198859.png,[8],[0.29559151]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10244314384.png,[4],[0.1123247]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10155925686.png,[4],[0.09975254]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10147970884.png,[7],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10111411235.png,[6],[0.04170328]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10094235786.png,[6],[0.14437898]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10091520555.png,[4],[0.05075623]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10050349236.png,[4],[0.08580851]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10031298826.png,[5],[0.27411502]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/stadv/fpr/10027582235.png,[5],[0.27411502]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/fpr/3525647615.png,[6],[0.26132295]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/fpr/3395475764.png,[8],[0.22890193]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/fpr/3390605400.png,[3],[0.20614216]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/fpr/3228786952.png,[4],[0.0355084]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/fpr/2790138273.png,[4],[0.19531888]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/fpr/2197636094.png,[4],[0.28291807]
../../../../data/DIONE/work/Framework_Datasets/dataset/attacked-dataset/no-defence/preset_2/square-attack/fpr/1572804254.png,[3],[0.01786888]
